Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,4.7u, C77077
C10,0603,1,1nF,C1636
C11,0402,1,47pF,C60137
"C12, C14",0603,2,47u,C140782
"C13, C15, C16, C17, C6, C7",0402,6,0.1u,C307331
"C3, C4",0603,2,0.01u,C77053
C5,0805,1,10uF,C440198
"C8, C9",0402,2,22pF,C1555
"D1, D3",D_SMA,2,B340A,C3018525
"D2, D4",0805,2,LED,C2297
J1,PinHeader_2x03_P2.54mm_Vertical,1,AVR-ISP-6,C65114
J2,PinHeader_1x05_P2.54mm_Vertical,1,Serial-328P,C492404
J3,JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical,1,Conn_01x05_Pin,C161872
J4,PinHeader_1x06_P2.54mm_Vertical,1,Serial-ESP,C37208
J5,PinHeader_2x08_P2.54mm_Vertical,1,Conn_02x08_Odd_Even,C5383108
"J6, J9",JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,2,Conn_01x04_Pin,C161871
J7,TENSILITY_54-00127,1,54-00127,C19856735
J8,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,1,HallSensor, C161870
L1,L_Sunlord_MWSA0603S,1,6.8uH,C408449
"Q1, Q2",SOT-23,2,BC818,C154797
R1,0402,1,10.2k,C11660
"R10, R11, R13, R14, R5, R6, R7, R8, R9",0402,9,10k,C25744
R12,0402,1,120,C25079
R2,0603,1,3.24k,C22994
R3,0402,1,51.1,C3015638
R4,0402,1,29.4k,C327356
SW1,SW_SPST_SKQG_WithStem,1,ATMEGA RESET,C318884
SW2,SW_SPST_SKQG_WithStem,1,ESP RESET,C318884
SW3,SW_SPST_SKQG_WithStem,1,ESP BOOT,C318884
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,C14877
U2,CONV_TPS54331DDAR,1,TPS54331DDAR,C90761
U3,SOIC-16_3.9x9.9mm_P1.27mm,1,ULN2003A,C7512
U4,XCVR_ESP32-C3-MINI-1-N4,1,ESP32-C3-MINI-1-N4,C2838502
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
