Designator,Mid X,Mid Y,Rotation,Layer
C1,77.5,-106.1,90.0,top
C10,97.3,-111.4,0.0,top
C11,97.1,-108.8,0.0,top
C12,100.1,-99.3,0.0,top
C13,98.6,-78.5,180.0,top
C14,100.1,-102.4,0.0,top
C15,81.3,-92.9,270.0,top
C16,69.9,-92.98,90.0,top
C17,69.9,-101.32,90.0,top
C2,80.9,-106.2,90.0,top
C3,84.2,-108.925,90.0,top
C4,89.6,-115.6,0.0,top
C5,87.9,-57.9,180.0,top
C6,85.68,-55.8,180.0,top
C7,86.0,-105.6,0.0,top
C8,77.9,-60.5,180.0,top
C9,82.7,-57.0,0.0,top
D1,96.0,-105.2,0.0,top
D2,86.0,-75.6,180.0,top
D3,84.2,-115.5,270.0,top
D4,82.5,-98.7,90.0,top
J1,80.0,-50.9,90.0,top
J2,93.625,-49.6,270.0,top
J3,71.5,-63.1,90.0,top
J4,105.2,-107.35,0.0,top
J5,103.975,-64.875,0.0,top
J6,93.75,-123.475,180.0,top
J7,73.1,-114.2,270.0,top
J8,71.5,-77.2,90.0,top
J9,80.15,-123.425,0.0,top
L1,94.1,-99.4,0.0,top
Q1,99.7,-81.0,0.0,top
Q2,99.8,-90.1,0.0,top
R1,97.2,-113.6,180.0,top
R10,86.8,-97.8,0.0,top
R11,86.79,-101.0,0.0,top
R12,83.9,-104.0,0.0,top
R2,97.4,-116.5,180.0,top
R3,85.5,-73.1,0.0,top
R4,99.8,-110.0,180.0,top
R5,95.5,-63.2,270.0,top
R6,100.7,-86.7,270.0,top
R7,103.1,-86.81,90.0,top
R8,79.9,-92.3,270.0,top
R9,81.5,-87.9,90.0,top
SW1,95.2,-75.0,180.0,top
SW2,74.7,-92.8,0.0,top
SW3,74.8,-101.4,0.0,top
U1,88.8,-64.6,180.0,top
U2,90.55,-110.5,0.0,top
U3,79.0,-67.7,90.0,top
U4,90.0,-86.9,0.0,top
Y1,77.9,-57.8,0.0,top
